timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2019-01-01,0.00165120,0.00165350,0.00156760,0.00157870,1519298.89000000,1546387199999,2429.05728700,34424,781399.36000000,1249.75986557,0
2019-01-02,0.00157860,0.00158670,0.00154710,0.00156800,1437491.93000000,1546473599999,2245.12793379,52489,668374.28000000,1044.17061655,0
2019-01-03,0.00156800,0.00156940,0.00153310,0.00153990,1115273.25000000,1546559999999,1728.35225390,31141,526755.63000000,816.37399573,0
2019-01-04,0.00153940,0.00159750,0.00153450,0.00157290,1570627.45000000,1546646399999,2470.39715384,51619,827446.73000000,1301.73242526,0
2019-01-05,0.00157200,0.00159600,0.00155860,0.00158000,1477947.76000000,1546732799999,2335.55536631,58563,740765.22000000,1170.65032312,0
2019-01-06,0.00158000,0.00161690,0.00154500,0.00157160,1527923.29000000,1546819199999,2413.62876187,76061,796048.96000000,1258.21324488,0
2019-01-07,0.00157070,0.00157490,0.00154490,0.00156000,1633231.80000000,1546905599999,2543.41112294,74662,827358.67000000,1288.55385641,0
2019-01-08,0.00155940,0.00169230,0.00155810,0.00164680,3376088.09000000,1546991999999,5521.87260821,94142,1779856.88000000,2911.53612101,0
2019-01-09,0.00164730,0.00172000,0.00160320,0.00165240,3329910.86000000,1547078399999,5546.17889316,70305,1635876.22000000,2725.53562082,0
2019-01-10,0.00165130,0.00165140,0.00158460,0.00162770,3581126.62000000,1547164799999,5769.92713611,92471,1819018.52000000,2931.32242435,0
2019-01-11,0.00162800,0.00169330,0.00160170,0.00165340,2617645.87000000,1547251199999,4312.65857470,71612,1280502.62000000,2109.45364785,0
2019-01-12,0.00165390,0.00165720,0.00161240,0.00163490,1584269.21000000,1547337599999,2593.17136295,37796,910543.45000000,1490.89810829,0
2019-01-13,0.00163490,0.00164290,0.00154860,0.00157370,1264584.27000000,1547423999999,2039.00251536,37126,628666.99000000,1014.93131340,0
2019-01-14,0.00157360,0.00167000,0.00157000,0.00166990,2064678.53000000,1547510399999,3353.53706062,55751,1155707.74000000,1877.44948018,0
2019-01-15,0.00167000,0.00167290,0.00160570,0.00163290,1273392.38000000,1547596799999,2080.75006000,40129,723346.15000000,1182.14783569,0
2019-01-16,0.00163260,0.00172220,0.00162400,0.00169690,1996756.46000000,1547683199999,3338.11722783,48594,1153428.78000000,1929.63223953,0
2019-01-17,0.00169690,0.00174980,0.00166710,0.00174970,2095359.26000000,1547769599999,3582.85145458,48666,1119440.46000000,1916.07433706,0
2019-01-18,0.00174820,0.00182550,0.00172530,0.00180510,2354757.91000000,1547855999999,4191.47719276,58312,1395497.69000000,2483.92380019,0
2019-01-19,0.00180500,0.00180560,0.00172620,0.00178000,1735248.40000000,1547942399999,3058.73477224,44519,998820.21000000,1761.23912755,0
2019-01-20,0.00178000,0.00183440,0.00177190,0.00181100,2415246.36000000,1548028799999,4364.71845111,44023,1445873.08000000,2613.72730523,0
2019-01-21,0.00181100,0.00184400,0.00178970,0.00183410,2619999.35000000,1548115199999,4777.53177692,34054,1734575.98000000,3164.00130464,0
2019-01-22,0.00183440,0.00183850,0.00179000,0.00181110,1906828.95000000,1548201599999,3459.52276051,35466,1193678.92000000,2165.91586804,0
2019-01-23,0.00181270,0.00183310,0.00180100,0.00182740,2112113.40000000,1548287999999,3831.67001989,31869,1274295.25000000,2311.95522161,0
2019-01-24,0.00182750,0.00182800,0.00180010,0.00180800,1604284.16000000,1548374399999,2908.16605852,25645,920769.96000000,1669.51471518,0
2019-01-25,0.00180800,0.00189350,0.00180280,0.00187360,2725797.80000000,1548460799999,5048.79348630,41321,1701313.85000000,3153.33652184,0
2019-01-26,0.00187480,0.00195510,0.00184120,0.00194720,2874075.46000000,1548547199999,5472.49718038,44477,1803956.43000000,3436.08454263,0
