timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2019-01-01,0.00007683,0.00008087,0.00007682,0.00007784,3014772.00000000,1546387199999,238.35266533,7865,1628033.00000000,128.83922816,0
2019-01-02,0.00007784,0.00008128,0.00007731,0.00008040,2599250.00000000,1546473599999,206.57874236,6479,1374339.00000000,109.21530352,0
2019-01-03,0.00008050,0.00009688,0.00008020,0.00009649,24409186.00000000,1546559999999,2230.82915084,53853,13802930.00000000,1262.73943983,0
2019-01-04,0.00009648,0.00011760,0.00009519,0.00011441,47049014.00000000,1546646399999,5097.30330268,140918,25096558.00000000,2719.59649816,0
2019-01-05,0.00011442,0.00011476,0.00009993,0.00010291,24435570.00000000,1546732799999,2564.16131289,72606,12505066.00000000,1311.68363743,0
2019-01-06,0.00010286,0.00010494,0.00009407,0.00009684,13452619.00000000,1546819199999,1327.80797017,38505,6708469.00000000,661.38259639,0
2019-01-07,0.00009693,0.00010189,0.00009149,0.00009360,8111079.00000000,1546905599999,779.92617331,27443,4119115.00000000,395.77957814,0
2019-01-08,0.00009374,0.00010650,0.00009010,0.00010621,11351679.00000000,1546991999999,1110.30529287,38680,5774138.00000000,567.05059253,0
2019-01-09,0.00010620,0.00010914,0.00009877,0.00009957,13253017.00000000,1547078399999,1371.71881405,43437,6303787.00000000,653.57584152,0
2019-01-10,0.00009962,0.00010078,0.00009264,0.00009674,9541862.00000000,1547164799999,926.43210806,31477,4841611.00000000,470.48845770,0
2019-01-11,0.00009671,0.00012694,0.00009667,0.00012130,24367138.00000000,1547251199999,2774.22038371,81843,12865589.00000000,1465.74843007,0
2019-01-12,0.00012130,0.00012874,0.00011083,0.00011255,24735534.00000000,1547337599999,2936.10556688,93633,12595544.00000000,1497.09916154,0
2019-01-13,0.00011255,0.00012891,0.00010550,0.00012412,15286656.00000000,1547423999999,1768.34515606,55783,8004511.00000000,929.38201919,0
2019-01-14,0.00012409,0.00013646,0.00011803,0.00013314,26668489.00000000,1547510399999,3373.41379312,93391,13748971.00000000,1743.39420549,0
2019-01-15,0.00013347,0.00015447,0.00012505,0.00014378,37875998.00000000,1547596799999,5329.41495334,114654,19505542.00000000,2748.17050846,0
2019-01-16,0.00014360,0.00015050,0.00012930,0.00013624,22423592.00000000,1547683199999,3137.21255251,70506,11243764.00000000,1572.00964587,0
2019-01-17,0.00013629,0.00013824,0.00013001,0.00013137,12503029.00000000,1547769599999,1666.86822392,42814,6256722.00000000,834.32093745,0
2019-01-18,0.00013129,0.00013965,0.00012785,0.00013630,9575945.00000000,1547855999999,1269.85393162,32022,4917528.00000000,652.28883828,0
2019-01-19,0.00013631,0.00013706,0.00012801,0.00013150,6753689.00000000,1547942399999,889.27522567,26616,3301384.00000000,434.81327748,0
2019-01-20,0.00013162,0.00013938,0.00013017,0.00013649,7155751.00000000,1548028799999,962.57565673,24143,3479320.00000000,468.78098188,0
2019-01-21,0.00013640,0.00014700,0.00013260,0.00014103,9371416.00000000,1548115199999,1311.03652176,36499,4894030.00000000,685.29339523,0
2019-01-22,0.00014096,0.00015800,0.00014006,0.00014949,15304771.00000000,1548201599999,2298.00655010,55202,8339512.00000000,1253.25573147,0
2019-01-23,0.00014949,0.00015281,0.00014082,0.00014208,11152301.00000000,1548287999999,1620.86307440,42879,5677082.00000000,825.57222221,0
2019-01-24,0.00014208,0.00014309,0.00013320,0.00014055,9141811.00000000,1548374399999,1259.12658337,35435,4627346.00000000,637.64217015,0
2019-01-25,0.00014055,0.00014411,0.00013200,0.00013262,9579888.00000000,1548460799999,1320.72786054,31984,5002308.00000000,689.32076990,0
2019-01-26,0.00013262,0.00013492,0.00012917,0.00013073,6662202.00000000,1548547199999,881.93002638,21305,3208941.00000000,425.05336879,0
2019-01-27,0.00013085,0.00013085,0.00011900,0.00012120,12530848.00000000,1548633599999,1547.98803593,40721,6053247.00000000,747.64753125,0
2019-01-28,0.00012128,0.00012179,0.00010361,0.00011960,19348411.00000000,1548719999999,2155.08170375,57814,8660645.00000000,966.84495365,0
2019-01-29,0.00011960,0.00013587,0.00011906,0.00013213,25600851.00000000,1548806399999,3254.78868151,90652,12897773.00000000,1640.86097573,0
2019-01-30,0.00013213,0.00013224,0.00012035,0.00012310,11995382.00000000,1548892799999,1492.92005629,43764,6141832.00000000,764.77087222,0
2019-01-31,0.00012307,0.00012649,0.00011105,0.00011192,9302375.00000000,1548979199999,1100.16061942,35041,4572392.00000000,541.23993041,0
2019-02-01,0.00011191,0.00012332,0.00011083,0.00012006,8161355.00000000,1549065599999,957.87883842,30361,4309878.00000000,505.73728259,0
2019-02-02,0.00012008,0.00012501,0.00011395,0.00011835,5903606.00000000,1549151999999,704.29460775,25870,2966703.00000000,354.66177093,0
2019-02-03,0.00011844,0.00011889,0.00011284,0.00011461,4529217.00000000,1549238399999,522.82683051,17669,2426421.00000000,280.03796204,0
2019-02-04,0.00011427,0.00011885,0.00011171,0.00011395,6113717.00000000,1549324799999,704.14846684,21018,3048412.00000000,351.17468929,0
2019-02-05,0.00011395,0.00012470,0.00011263,0.00012166,7937352.00000000,1549411199999,940.21123960,27298,4013807.00000000,475.27166057,0
2019-02-06,0.00012166,0.00012205,0.00011501,0.00011754,7133579.00000000,1549497599999,841.64701069,29067,3770283.00000000,444.69953833,0
2019-02-07,0.00011745,0.00011948,0.00011466,0.00011831,4054311.00000000,1549583999999,475.76448336,17622,2151620.00000000,252.57362176,0
2019-02-08,0.00011833,0.00012497,0.00011721,0.00011986,7789656.00000000,1549670399999,940.51326953,33792,3758035.00000000,453.78457218,0
2019-02-09,0.00011986,0.00013286,0.00011832,0.00012632,7560687.00000000,1549756799999,953.52605370,33676,3880832.00000000,489.07777111,0
2019-02-10,0.00012630,0.00013193,0.00011964,0.00012240,8932447.00000000,1549843199999,1126.66189105,36088,4407259.00000000,557.09206153,0
