timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2019-01-01,0.00012000,0.00012218,0.00011707,0.00011923,307916.00000000,1546387199999,36.58799826,545,76211.00000000,9.12414867,0
2019-01-02,0.00011952,0.00012042,0.00010924,0.00011215,430745.00000000,1546473599999,48.39513008,417,249926.00000000,28.01063906,0
2019-01-03,0.00011224,0.00012047,0.00011076,0.00011453,228985.00000000,1546559999999,26.52937482,284,109671.00000000,12.70737785,0
2019-01-04,0.00011434,0.00012070,0.00010882,0.00011704,776057.00000000,1546646399999,89.91659485,547,297461.00000000,34.66438485,0
2019-01-05,0.00011704,0.00012180,0.00011116,0.00011375,1117027.00000000,1546732799999,128.08729754,844,552863.00000000,63.48980448,0
2019-01-06,0.00011371,0.00014886,0.00011349,0.00012550,8089509.00000000,1546819199999,1043.24583694,2650,2873682.00000000,370.00384877,0
2019-01-07,0.00012550,0.00012885,0.00012154,0.00012358,5175458.00000000,1546905599999,644.19602436,2213,2035108.00000000,253.59210200,0
2019-01-08,0.00012371,0.00012465,0.00011786,0.00011920,1088279.00000000,1546991999999,131.08076350,592,331594.00000000,40.13887618,0
2019-01-09,0.00011980,0.00012547,0.00011799,0.00012277,897154.00000000,1547078399999,109.86256816,548,469981.00000000,57.47452688,0
2019-01-10,0.00012165,0.00012700,0.00011600,0.00011882,1713427.00000000,1547164799999,207.17023297,972,775528.00000000,93.87061539,0
2019-01-11,0.00011941,0.00012258,0.00011648,0.00011952,525206.00000000,1547251199999,63.15358603,386,214476.00000000,25.89434229,0
2019-01-12,0.00011952,0.00012754,0.00011764,0.00012294,527794.00000000,1547337599999,64.47322021,419,324593.00000000,39.83538119,0
2019-01-13,0.00012379,0.00013249,0.00012175,0.00012294,961094.00000000,1547423999999,120.24067209,764,474562.00000000,59.28673131,0
2019-01-14,0.00012235,0.00013095,0.00012002,0.00012232,1569117.00000000,1547510399999,195.73405450,815,634208.00000000,79.63369291,0
2019-01-15,0.00012226,0.00015499,0.00012058,0.00013986,7448852.00000000,1547596799999,1029.28644388,2713,3399480.00000000,469.54130991,0
2019-01-16,0.00013988,0.00014176,0.00012819,0.00013607,3973290.00000000,1547683199999,531.01865827,1607,1919330.00000000,255.12868625,0
2019-01-17,0.00013511,0.00015942,0.00013449,0.00014390,5363481.00000000,1547769599999,791.35572793,2313,2547776.00000000,377.70112125,0
2019-01-18,0.00014377,0.00016836,0.00014143,0.00015623,4600083.00000000,1547855999999,695.82965181,2100,2125253.00000000,320.99341461,0
2019-01-19,0.00015524,0.00018000,0.00014771,0.00016970,4913186.00000000,1547942399999,796.46696073,2120,2297296.00000000,373.52414343,0
2019-01-20,0.00016970,0.00019200,0.00015458,0.00015783,10601748.00000000,1548028799999,1820.33591710,4543,3815690.00000000,649.79622918,0
2019-01-21,0.00015845,0.00016590,0.00015125,0.00015415,4315774.00000000,1548115199999,686.13527507,1423,1757745.00000000,280.09822549,0
2019-01-22,0.00015328,0.00015473,0.00014825,0.00015097,1950258.00000000,1548201599999,295.37764530,1209,800889.00000000,121.58396096,0
2019-01-23,0.00015097,0.00015641,0.00014488,0.00015009,2464936.00000000,1548287999999,374.06583408,783,1112727.00000000,169.11319773,0
2019-01-24,0.00014978,0.00015252,0.00014427,0.00015119,1952703.00000000,1548374399999,286.91166975,600,1368315.00000000,200.32158735,0
2019-01-25,0.00014907,0.00015725,0.00014831,0.00015300,1293864.00000000,1548460799999,197.57192791,559,773632.00000000,118.23403890,0
2019-01-26,0.00015285,0.00015488,0.00015098,0.00015199,645726.00000000,1548547199999,98.72757616,275,356114.00000000,54.49915249,0
2019-01-27,0.00015267,0.00015495,0.00014380,0.00014811,1476016.00000000,1548633599999,220.74605963,568,944275.00000000,141.41094243,0
2019-01-28,0.00014850,0.00015011,0.00013908,0.00014699,1271588.00000000,1548719999999,184.96662707,707,667548.00000000,97.45860912,0
2019-01-29,0.00014629,0.00015997,0.00014339,0.00015855,2009144.00000000,1548806399999,305.97157192,983,816805.00000000,124.49158279,0
2019-01-30,0.00015865,0.00016710,0.00014981,0.00015923,3715549.00000000,1548892799999,587.24606170,1443,1592760.00000000,252.91129481,0
2019-01-31,0.00015853,0.00015853,0.00014600,0.00014680,1133954.00000000,1548979199999,172.34956570,445,200908.00000000,30.43938923,0
2019-02-01,0.00014585,0.00015133,0.00014000,0.00014735,1168125.00000000,1549065599999,168.93025306,426,515752.00000000,74.94110463,0
2019-02-02,0.00014649,0.00015806,0.00014475,0.00015237,1224158.00000000,1549151999999,188.07759115,590,796154.00000000,122.46580128,0
2019-02-03,0.00015251,0.00015478,0.00014705,0.00014792,489963.00000000,1549238399999,73.71807904,307,292114.00000000,43.99833852,0
